model,evidence,run_id,seed,best_epoch,threshold,val_accuracy,val_precision,val_recall,val_f1,val_pr_auc,val_roc_auc,val_false_positives,val_false_negatives,test_accuracy,test_precision,test_recall,test_f1,test_pr_auc,test_roc_auc,test_false_positives,test_false_negatives,train_accuracy,train_f1,train_pr_auc,train_roc_auc
CNN baseline,individual run,dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_002501,42.0,35.0,0.83,0.9066985645933014,0.878419452887538,0.8837920489296636,0.8810975609756098,0.9435165717514432,0.9645764616114826,40,38,0.9095295536791316,0.8576051779935275,0.8952702702702703,0.8760330578512396,0.9226096219824592,0.9605306526038232,44,31,0.926031663638723,0.904330312185297,0.965013552436065,0.9785502045990933
HGB full,individual run,dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_hgb_full_20260906_002402,42.0,,0.595,0.9043062200956936,0.8708708708708709,0.8868501529051988,0.8787878787878788,0.94827808405837,0.9653635178409424,43,37,0.893848009650181,0.8209876543209876,0.8986486486486487,0.8580645161290322,0.9224788033261396,0.9597953957710056,58,30,0.9927329353750324,0.990691489361702,0.9990361152251824,0.9993876176515532
CNN + HGB blend,individual run,dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_stack_blend_20260906_003122,,,0.5099999999999999,0.916267942583732,0.852054794520548,0.9510703363914372,0.8988439306358381,0.9584070956184778,0.973570531653479,54,16,0.9034981905910736,0.8121387283236994,0.9493243243243245,0.8753894080996885,0.9430965547612564,0.9700763145885096,65,15,,,,
