split,metric,label,n,v0_mean,v0_std,v1_mean,v1_std,delta_mean,delta_std,delta_min,delta_max,improved_seeds,tied_seeds
val,accuracy,Accuracy,5,0.9002392344497607,0.0024804355685798,0.9452153110047848,0.0104073859972039,0.0449760765550239,0.0117383449046383,0.0263157894736841,0.055023923444976,5,0
val,f1,F1,5,0.8780004630198602,0.0024999140505471,0.9314516533557152,0.0121546083741194,0.0534511903358547,0.0133430098475652,0.0341837442295118,0.0690277003160438,5,0
val,average_precision,Average precision,5,0.9376211890653056,0.0055522960757833,0.9776351798444712,0.0079344310863589,0.0400139907791654,0.0115540361156652,0.0222660472676461,0.0525525475739226,5,0
val,roc_auc,ROC-AUC,5,0.9618932607559344,0.0036935115314331,0.9860396652307396,0.0052107444272363,0.0241464044748051,0.0075099499517361,0.013031488257241,0.0326598294911771,5,0
test,accuracy,Accuracy,5,0.8926417370325692,0.011538677002237,0.9326899879372738,0.0086734272676706,0.0400482509047044,0.0187535631251097,0.0132689987937274,0.0591073582629674,5,0
test,f1,F1,5,0.8593565062025661,0.0113998284460379,0.9082194142843582,0.0103762587387845,0.048862908081792,0.0208242823554968,0.018463492063492,0.0692613734647984,5,0
test,average_precision,Average precision,5,0.9139053243339856,0.0137521248029103,0.9605482464049389,0.0042121665168387,0.046642922070953,0.0163022882682116,0.0286792126004018,0.0675914006274824,5,0
test,roc_auc,ROC-AUC,5,0.9557673292429392,0.0067651621256997,0.9802051113026724,0.0014847066197687,0.0244377820597332,0.0080862087269545,0.0160425434815678,0.0360212463870999,5,0
