model,evidence,run_id,seed,best_epoch,threshold,val_accuracy,val_precision,val_recall,val_f1,val_pr_auc,val_roc_auc,val_false_positives,val_false_negatives,test_accuracy,test_precision,test_recall,test_f1,test_pr_auc,test_roc_auc,test_false_positives,test_false_negatives,train_accuracy,train_f1,train_pr_auc,train_roc_auc
CNN baseline,individual run,dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_002501,42.0,35.0,0.83,0.9066985645933014,0.878419452887538,0.8837920489296636,0.8810975609756098,0.9435165717514432,0.9645764616114826,40,38,0.9095295536791316,0.8576051779935275,0.8952702702702703,0.8760330578512396,0.9226096219824592,0.9605306526038232,44,31,0.926031663638723,0.904330312185297,0.965013552436065,0.9785502045990933
CNN wide branch,individual run,dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_002732,42.0,29.0,0.12,0.8516746411483254,0.7942028985507247,0.8379204892966361,0.8154761904761905,0.8726276279209709,0.9109905493171836,71,53,0.8262967430639324,0.7248520710059172,0.8277027027027027,0.7728706624605678,0.8013771076562937,0.8924560113584505,93,51,0.984687256683104,0.9807000327118088,0.9981877197627016,0.9982392592550668
CNN regularized,individual run,dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_002902,42.0,27.0,0.92,0.90311004784689,0.8867924528301887,0.8623853211009175,0.8744186046511628,0.932112284891646,0.9610857771128856,36,45,0.9059107358262968,0.8758620689655172,0.8581081081081081,0.8668941979522184,0.9137994485766288,0.9567529537041732,36,42,0.9148715286789516,0.8877481177275839,0.9589083917271376,0.9745244415265412
