seed,run_name_v0,run_dir_v0,epochs_run_v0,selected_epoch_v0,validation_threshold_v0,train_size_v0,val_size_v0,test_size_v0,train_accuracy_v0,train_f1_v0,train_average_precision_v0,train_roc_auc_v0,val_accuracy_v0,val_f1_v0,val_average_precision_v0,val_roc_auc_v0,test_accuracy_v0,test_f1_v0,test_average_precision_v0,test_roc_auc_v0,val_false_positives_v0,val_false_negatives_v0,val_precision_v0,val_recall_v0,test_false_positives_v0,test_false_negatives_v0,test_precision_v0,test_recall_v0,run_name_v1,run_dir_v1,epochs_run_v1,selected_epoch_v1,validation_threshold_v1,train_size_v1,val_size_v1,test_size_v1,train_accuracy_v1,train_f1_v1,train_average_precision_v1,train_roc_auc_v1,val_accuracy_v1,val_f1_v1,val_average_precision_v1,val_roc_auc_v1,test_accuracy_v1,test_f1_v1,test_average_precision_v1,test_roc_auc_v1,val_false_positives_v1,val_false_negatives_v1,val_precision_v1,val_recall_v1,test_false_positives_v1,test_false_negatives_v1,test_precision_v1,test_recall_v1,val_accuracy_delta,val_f1_delta,val_average_precision_delta,val_roc_auc_delta,test_accuracy_delta,test_f1_delta,test_average_precision_delta,test_roc_auc_delta
42,dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_003140,outputs/reproduce/cnn_v0/seed_42/dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_003140,44,34,0.8699999999999999,3853,836,829,0.922138593303919,0.8994638069705094,0.9632163177000244,0.977449387900638,0.901913875598086,0.8757575757575757,0.9411797041582396,0.9619869865359312,0.9047044632086853,0.8694214876033057,0.9272086990811884,0.962146949951828,44.0,38.0,0.8678678678678678,0.8837920489296636,46.0,33.0,0.8511326860841424,0.8885135135135135,dataset_kepler_v1_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_004213,outputs/reproduce/cnn_v1/seed_42/dataset_kepler_v1_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_004213,60,57,0.8999999999999999,3853,836,829,0.9810537243706204,0.975674775074975,0.9966640027118174,0.9979789118610876,0.9569377990430622,0.9447852760736196,0.982489523159438,0.98916145467217,0.9336550060313632,0.9063032367972744,0.9596413425423292,0.9798628365701536,17.0,19.0,0.9476923076923076,0.9418960244648318,25.0,30.0,0.9140893470790378,0.8986486486486487,0.055023923444976,0.0690277003160438,0.0413098190011983,0.0271744681362388,0.0289505428226779,0.0368817491939685,0.0324326434611406,0.0177158866183255
43,dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_003333,outputs/reproduce/cnn_v0/seed_43/dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_003333,27,17,0.8749999999999999,3853,836,829,0.9089021541655852,0.887536046139058,0.9429523997333724,0.964974502934568,0.8971291866028708,0.875,0.9283670100168974,0.9555283190041036,0.8817852834740652,0.848297213622291,0.8994120913871411,0.9466241569900108,60.0,26.0,0.8337950138504155,0.9204892966360856,76.0,22.0,0.7828571428571428,0.9256756756756755,dataset_kepler_v1_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_004451,outputs/reproduce/cnn_v1/seed_43/dataset_kepler_v1_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_004451,40,30,0.93,3853,836,829,0.9766415779911756,0.9700598802395208,0.9929068705706854,0.995637200246764,0.9485645933014354,0.9351432880844646,0.98091955759082,0.9881881484952808,0.9348612786489746,0.9102990033222592,0.9670034920146235,0.9826454033771106,26.0,17.0,0.9226190476190476,0.9480122324159022,32.0,22.0,0.8954248366013072,0.9256756756756755,0.0514354066985646,0.0601432880844645,0.0525525475739226,0.0326598294911771,0.0530759951749094,0.062001789699968,0.0675914006274824,0.0360212463870999
44,dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_003507,outputs/reproduce/cnn_v0/seed_44/dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_003507,45,35,0.6799999999999999,3853,836,829,0.921100441214638,0.9044025157232704,0.9596477724968256,0.9756702530463476,0.8983253588516746,0.8807854137447405,0.9374476771654482,0.9631946071628124,0.8817852834740652,0.851063829787234,0.9077542812920304,0.955076441356929,72.0,13.0,0.8134715025906736,0.9602446483180428,82.0,16.0,0.7734806629834254,0.945945945945946,dataset_kepler_v1_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_004705,outputs/reproduce/cnn_v1/seed_44/dataset_kepler_v1_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_004705,39,29,0.8499999999999999,3853,836,829,0.976901116013496,0.9707525468287874,0.994461747493118,0.9967436766711756,0.9497607655502392,0.9376854599406528,0.984539040714125,0.9903150027336686,0.9408926417370326,0.9203252032520324,0.9557328826555872,0.9796283149941688,31.0,11.0,0.9106628242074928,0.9663608562691132,36.0,13.0,0.8871473354231975,0.956081081081081,0.0514354066985646,0.0569000461959122,0.0470913635486768,0.0271203955708561,0.0591073582629674,0.0692613734647984,0.0479786013635566,0.0245518736372396
45,dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_003728,outputs/reproduce/cnn_v0/seed_45/dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_003728,29,19,0.8899999999999999,3853,836,829,0.9185050609914353,0.8979193758127438,0.952520004246445,0.9714072059630872,0.9007177033492823,0.8795355587808418,0.9385865908239918,0.9644202519781548,0.8902291917973462,0.8544,0.9052333598864142,0.952379443233102,59.0,24.0,0.8370165745856354,0.926605504587156,62.0,29.0,0.8115501519756839,0.902027027027027,dataset_kepler_v1_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_004908,outputs/reproduce/cnn_v1/seed_45/dataset_kepler_v1_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_004908,31,21,0.8699999999999999,3853,836,829,0.9639242148974824,0.9538052509139248,0.9844720969810936,0.9920441232235536,0.9413875598086124,0.9265367316341828,0.9754367673283753,0.9851660928966672,0.9360675512665864,0.912106135986733,0.9617661121885978,0.980236803407535,31.0,18.0,0.9088235294117648,0.944954128440367,32.0,21.0,0.8957654723127035,0.929054054054054,0.0406698564593301,0.0470011728533411,0.0368501765043834,0.0207458409185126,0.04583835946924,0.0577061359867329,0.0565327523021835,0.0278573601744331
46,dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_003858,outputs/reproduce/cnn_v0/seed_46/dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_003858,51,41,0.72,3853,836,829,0.9338178043083312,0.9170191994793362,0.9710002031589136,0.981713991408536,0.90311004784689,0.8789237668161435,0.9425249631619512,0.9643361390986704,0.9047044632086853,0.8736,0.9299181900231538,0.9626096546828254,48.0,33.0,0.8596491228070176,0.8990825688073395,56.0,23.0,0.8297872340425532,0.9222972972972971,dataset_kepler_v1_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_005043,outputs/reproduce/cnn_v1/seed_46/dataset_kepler_v1_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_005043,21,11,0.4499999999999999,3853,836,829,0.9475733194913056,0.9352564102564104,0.9741673440084344,0.9854216778823568,0.9294258373205742,0.9131075110456554,0.9647910104295974,0.9773676273559117,0.9179734620024126,0.8920634920634921,0.9585974026235556,0.9786521981643932,42.0,17.0,0.8806818181818182,0.9480122324159022,53.0,15.0,0.8413173652694611,0.9493243243243245,0.0263157894736841,0.0341837442295118,0.0222660472676461,0.013031488257241,0.0132689987937274,0.018463492063492,0.0286792126004018,0.0160425434815678
